,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
1823,哈尔滨E佳人宾馆,,近阿城区 · 阿城商业区,¥92起,4.1,共12条评论,¥92
1824,天佑鲁商店公寓(学府路分店),,近哈达地铁站 · 医大二院/哈南站,¥206起,4.4,共5条评论,¥206
1825,哈尔滨曼妥思宾馆,,近江北大学城地铁站 · 江北大学城,¥71起,4.2,共11条评论,¥71
1826,Rickyhome公寓(学府三道街1号分店),经济型,近黑龙江大学 · 江南大学城,¥278起,4.9,共32条评论,¥278
1827,哈尔滨格琳宾馆,经济型,近浦江国际 · 呼兰站,¥130起,4.4,共23条评论,¥130
1828,顺鑫旅店(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥160起,4.7,共5条评论,¥160
1829,忆宿家新公寓(江泰街分店),经济型,近上院 · 冰雪大世界/太阳岛,¥475起,4.7,共18条评论,¥475
1830,哈尔滨千舍客栈,,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥611起,4.9,共5条评论,¥611
1831,忆宿家公寓(丰源街1号分店),,近万达华园 · 冰雪大世界/太阳岛,¥590起,4.8,共23条评论,¥590
1832,忆宿家新公寓(河西街分店),,近凯德广场(埃德蒙顿路店) · 群力新区,¥733起,4.9,共27条评论,¥733
1833,哈尔滨仔修公寓,经济型,近萤火虫蹦床主题公园（红星美凯龙店） · 哈西万达广场,¥254起,4.4,共9条评论,¥254
1834,中屹公寓(会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥416起,4.5,共7条评论,¥416
1835,凯悦宾馆(哈尔滨中央大街店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥205起,4.7,共5条评论,¥205
1836,鸿顺旅店(哈尔滨医大二院店),经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥184起,4.8,共11条评论,¥184
1837,云木子公寓(赣水路分店),,近珠江路地铁站 · 龙塔/会展中心,¥319起,5.0,共5条评论,¥319
1838,哈尔滨双城璞旭清雅商务会馆,经济型,近哈尔滨市双城区人民政府 · 双城,¥88起,4.8,共6条评论,¥88
1839,哈尔滨丽都快捷宾馆,经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥60起,4.3,共18条评论,¥60
1840,哈尔滨鼎盛快捷宾馆,经济型,近呼兰第一中学 · 呼兰站,¥82起,4.6,共9条评论,¥82
1841,哈尔滨星之悦民宿(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥800起,4.5,共15条评论,¥800
1842,哈尔滨华梅快捷旅馆,经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥60起,4.6,共5条评论,¥60
1843,宁之屋遇见民宿(沟沿街2号分店),,近中华巴洛克风情街 · 道外巴洛克,¥609起,4.4,共30条评论,¥609
1844,哈尔滨电讯旅社,经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥112起,4.1,共8条评论,¥112
1845,哈尔滨精途酒店,经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥727起,4.6,共28条评论,¥727
1846,木萝公寓(南直路分店),,近哈尔滨国际会展中心 · 龙塔/会展中心,¥505起,4.9,共8条评论,¥505
1847,哈尔滨文景快乐驿站,经济型,近和平路/民生路(路口) · 龙塔/会展中心,¥62起,4.8,共5条评论,¥62
1848,哈尔滨三王公寓,经济型,近江北大学城地铁站 · 江北大学城,¥49起,4.9,共25条评论,¥49
1849,哈尔滨雷霆电竞酒店,经济型,近哈西万达广场 · 哈西万达广场,¥237起,4.3,共11条评论,¥237
1850,彤欣客栈,经济型,近哈尔滨市第五医院 · 乐松广场/东北林业大学/香坊商业区,¥71起,4.7,共5条评论,¥71
1851,哈尔滨恋家小宾馆,,近红旗大街 · 龙塔/会展中心,¥71起,5.0,共5条评论,¥71
1852,哈尔滨泊客弯宾馆,经济型,近江北大学城地铁站 · 江北大学城,¥103起,4.5,共8条评论,¥103
1853,哈尔滨隆悦旅馆,经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥150起,4.7,共5条评论,¥150
1854,小欢喜哈尔滨公寓(长江路1号分店),,近东北农业大学 · 龙塔/会展中心,¥185起,5.0,共6条评论,¥185
1855,忆厢小宿公寓(融江路分店),,近银泰城 · 群力新区,¥268起,4.8,共6条评论,¥268
1856,宜天时尚宾馆(哈尔滨站北广场中央大街店),经济型,近安发桥街 · 哈尔滨站/果戈里商业区/医大一院,¥123起,4.7,共7条评论,¥123
1857,哈尔滨庆丰时尚旅馆,,近黑龙江中医药大学附属第一医院 · 龙塔/会展中心,¥91起,4.9,共7条评论,¥91
1858,徐甘民宿,经济型,近丽江路与友谊西路交叉口 · 群力新区,¥228起,4.8,共7条评论,¥228
1859,哈尔滨爱家公寓,经济型,近黑龙江农垦职业学院 · 江北大学城,¥39起,5.0,共6条评论,¥39
1860,哈尔滨东竹宾馆,经济型,近太平镇人民政府 · 太平国际机场地区,¥172起,4.6,共6条评论,¥172
1861,小铛家公寓,经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥307起,4.4,共5条评论,¥307
1862,哈尔滨冰城快捷宾馆,,近王府井购物中心(哈尔滨店) · 群力新区,¥194起,4.5,共7条评论,¥194
1863,逸居公寓民宿(祥安南大街分店),,近世茂大道 · 冰雪大世界/太阳岛,¥261起,5.0,共7条评论,¥261
1864,舒馨公寓(哈尔滨学院路店),经济型,近黑龙江农垦职业学院 · 江北大学城,¥90起,4.6,共7条评论,¥90
1865,冰城哈尔滨中央大街民宿(中央大街分店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥845起,5.0,共5条评论,¥845
1866,卧虎藏龙666公寓(西兴街分店),,近西城红场 · 哈西万达广场,¥210起,5.0,共5条评论,¥210
1867,邂逅拾光公寓民宿(天翔街分店),,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥272起,5.0,共5条评论,¥272
1868,轻呈萧大侠公寓(群力第六大道分店),,近民生尚都福园 · 群力新区,¥1553起,5.0,共5条评论,¥1553
1869,冰雪娃娃精品民宿(工厂街分店),,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥576起,4.9,共5条评论,¥576
1870,一夕一夏复式民宿(呼兰大道分店),,近哈尔滨市呼兰区利民中学校 · 呼兰站,¥570起,4.9,共7条评论,¥570
1871,栖息寻梦公寓(丁香大道分店),,近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛,¥421起,5.0,共5条评论,¥421
1872,新龙门客栈小姐姐(永达路分店),,近地恒·托斯卡纳 · 呼兰站,¥408起,4.9,共6条评论,¥408
1873,佳肴公寓(新马路分店),,近圣索菲亚教堂 · 道外巴洛克,¥369起,5.0,共7条评论,¥369
1874,紫火公寓(北航街分店),,近理工大学地铁站 · 江南大学城,¥316起,4.8,共5条评论,¥316
1875,水木佳期民宿(中兴大道分店),,近万达广场(哈尔滨哈西店) · 哈西万达广场,¥266起,5.0,共5条评论,¥266
1876,亿洲民宿(王岗大街分店),,近哈尔滨西站 · 哈西万达广场,¥290起,4.9,共7条评论,¥290
1877,竹惠公寓(融汇路分店),,近工农大街地铁站 · 群力新区,¥253起,5.0,共6条评论,¥253
1878,沐萱新宿公寓(东七道街分店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥256起,4.6,共5条评论,¥256
1879,公寓民宿(群力第六大道分店),,近群力大道 · 群力新区,¥231起,5.0,共5条评论,¥231
1880,温馨回忆公寓(美术家大街分店),,近江北大学城地铁站 · 江北大学城,¥236起,4.8,共5条评论,¥236
1881,温馨雅居666公寓(中源大道1号分店),,近东北虎林园 · 冰雪大世界/太阳岛,¥204起,5.0,共5条评论,¥204
1882,华悦吖民宿(世祥路分店),,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥184起,5.0,共8条评论,¥184
1883,平公街民宿(平公街分店),,近哈尔滨体育学院 · 龙塔/会展中心,¥179起,4.6,共7条评论,¥179
1884,涵涵的公寓(浦阳东路分店),,近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛,¥169起,5.0,共5条评论,¥169
1885,wyg公寓(阿勒楚喀路分店),,近哈尔滨市阿城区人民医院 · 阿城商业区,¥156起,4.7,共7条评论,¥156
1886,洪伟2001公寓(欣盛路1号分店),,近哈尔滨市呼兰区利民中学校 · 呼兰站,¥190起,4.9,共6条评论,¥190
1887,哈尔滨瑞缘民宿,经济型,近富力城 · 冰雪大世界/太阳岛,¥271起,5.0,共5条评论,¥271
1888,Sohe民宿(中央大街分店),,近中央大街,¥485起,4.9,共5条评论,¥485
1889,麗枫酒店(哈尔滨公路大桥爱建店),舒适型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥568起,4.7,共1376条评论,¥568
1890,全季酒店(哈尔滨西站店),舒适型,近哈尔滨西站 · 哈西万达广场,¥625起,4.8,共660条评论,¥625
1891,汉庭酒店(哈尔滨站地铁站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥639起,4.9,共149条评论,¥639
1892,海友酒店(哈尔滨西站万达广场店),舒适型,近哈西万达广场 · 哈西万达广场,¥470起,4.8,共278条评论,¥470
1893,哈尔滨中央大街友谊路亚朵酒店,高档型,近哈尔滨冰雪乐园 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1040起,4.9,共1320条评论,¥1040
1894,星程酒店(哈尔滨哈西万达酒店),舒适型,近哈西万达广场 · 哈西万达广场,¥549起,4.9,共429条评论,¥549
1895,如家酒店(哈尔滨凯德广场学府路地铁站店),经济型,近学府路地铁站 · 江南大学城,¥458起,4.9,共863条评论,¥458
1896,汉庭酒店(哈尔滨松北融创世茂大道店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥616起,4.9,共706条评论,¥616
1897,如家商旅酒店(哈尔滨东大直街医大一院地铁站店),舒适型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥760起,4.9,共346条评论,¥760
1898,香橙假日酒店(哈尔滨儿童公园店),,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥172起,3.9,共43条评论,¥172
1899,哈尔滨松北美居酒店,高档型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥839起,4.9,共861条评论,¥839
1900,五常五福宾馆,经济型,近不夜城小区 · 五常,¥141起,4.5,共23条评论,¥141
1901,木兰华瑞商务宾馆,经济型,近木兰大街 · 木兰,¥141起,4.9,共61条评论,¥141
1902,通河一米阳光主题宾馆,经济型,近中央大街/隆达路(路口) · 通河,¥100起,4.8,共31条评论,¥100
1903,亚布力克瑞丝莫斯木屋别墅群,舒适型,近亚布力温泉国际度假中心 · 尚志,¥5919起,4.9,共133条评论,¥5919
1904,尚客优酒店(巴彦荣耀官邸店),经济型,近文华文化学校 · 巴彦,¥126起,4.9,共37条评论,¥126
1905,皓沄公寓(宣化街分店),经济型,近工程大学地铁站 · 工程大学/哈尔滨东站,¥249起,4.7,共56条评论,¥249
1906,春辉旅店(哈尔滨火车站店),,近哈尔滨站前广场 · 哈尔滨站/果戈里商业区/医大一院,¥49起,,共2条评论,¥49
1907,哈尔滨旺角旅店,经济型,近哈尔滨东站地铁站 · 工程大学/哈尔滨东站,¥37起,,共2条评论,¥37
1908,老张头时尚旅店,,近黑龙江农垦职业学院 · 江北大学城,¥31起,,共4条评论,¥31
1909,哈尔滨给粒电竞宾馆,,龙塔/会展中心,¥196起,5.0,共6条评论,¥196
1910,维也纳酒店(巴彦水韵阜财店),舒适型,近文华文化学校 · 巴彦,¥284起,4.9,共232条评论,¥284
1911,广电国际酒店(亚布力滑雪旅游度假区店),豪华型,近亚布力滑雪旅游度假区 · 尚志,¥1750起,4.9,共42条评论,¥1750
1912,汉庭酒店(尚志龙城国际店),经济型,尚志,¥265起,5.0,共13条评论,¥265
1913,电力宾馆(尚志东一条路店),舒适型,近中央大街/向阳路(路口) · 尚志,¥211起,4.7,共242条评论,¥211
1914,如家酒店·neo(依兰县政府亿达广场通江路店),经济型,近依兰县人民政府 · 依兰,¥146起,4.9,共298条评论,¥146
1915,方正港湾大酒店,三星级,近文景小区 · 方正,¥141起,4.7,共94条评论,¥141
1916,澜域商务酒店,经济型,近中央大街/向阳路(路口) · 尚志,¥143起,4.5,共11条评论,¥143
1917,麗枫酒店(五常冠业商业街店),舒适型,近不夜城小区 · 五常,¥285起,4.7,共64条评论,¥285
1918,亚布力滑雪场双赢农家院,,近亚布力森林温泉 · 尚志,¥437起,4.9,共37条评论,¥437
1919,依兰希尔曼宾馆,经济型,近依兰县人民政府 · 依兰,¥142起,4.9,共82条评论,¥142
1920,雪谷映山红客栈,经济型,近勇者家园 · 五常,¥397起,4.9,共37条评论,¥397
1921,东方海悦商务宾馆 (五常通达大街店),经济型,近不夜城小区 · 五常,¥145起,4.9,共525条评论,¥145
1922,如家neo酒店(宾县龙广大厦店),经济型,近宾县人民政府 · 宾县,¥199起,4.9,共23条评论,¥199
1923,汤臣壹品休闲酒店,舒适型,近黄河路与泰山路交叉口 · 延寿,¥162起,4.8,共51条评论,¥162
1924,亚布力亚布洛尼酒店,豪华型,近亚布力阳光度假村 · 尚志,¥4847起,4.7,共222条评论,¥4847
1925,和里民宿,经济型,近G301/绥满公路(路口) · 尚志,¥449起,5.0,共10条评论,¥449
1926,亚布力滑雪场冬至夏至民宿,,亚布力滑雪度假区内,¥592起,4.7,共11条评论,¥592
1927,尚志万豪商务宾馆,经济型,近苏杭名都 · 尚志,¥172起,4.8,共194条评论,¥172
1928,延寿萬鑫君悦酒店,舒适型,近延寿夜市 · 延寿,¥148起,5.0,共29条评论,¥148
1929,五常宝立商务宾馆,经济型,近不夜城小区 · 五常,¥107起,4.7,共126条评论,¥107
1930,汉庭酒店(依兰县政府通江路店),经济型,近依兰县人民政府 · 依兰,¥173起,4.9,共302条评论,¥173
1931,巴彦幸福人家商务宾馆,舒适型,近文华文化学校 · 巴彦,¥116起,4.9,共106条评论,¥116
1932,亚布力直尚青雲别墅,经济型,近亚布力温泉国际度假中心 · 尚志,¥560起,4.9,共22条评论,¥560
1933,亚布力闻雪阁豪华度假别墅,舒适型,亚布力滑雪度假区内,¥2445起,5.0,共51条评论,¥2445
1934,方正龙跃尊享酒店,舒适型,近方正县第一中学 · 方正,¥279起,4.8,共108条评论,¥279
1935,依兰爱尚家公寓酒店,经济型,近依兰县高级中学 · 依兰,¥74起,4.8,共52条评论,¥74
1936,亚布力青云居滑雪度假别墅,经济型,近亚布力温泉国际度假中心 · 尚志,¥726起,5.0,共24条评论,¥726
1937,雪谷亿来客栈,经济型,近勇者家园 · 五常,¥175起,5.0,共61条评论,¥175
1938,方正龙旗君悦首席宾馆,经济型,近雅居 · 方正,¥220起,4.8,共102条评论,¥220
1939,元虹智能无人宾馆,经济型,近木兰大街 · 木兰,¥82起,5.0,共18条评论,¥82
1940,尚志鼎泰酒店,舒适型,近中央大街/向阳路(路口) · 尚志,¥188起,4.9,共76条评论,¥188
1941,亚布力滑雪场VIP16号别墅,舒适型,近亚布力温泉国际度假中心 · 尚志,¥4413起,4.9,共41条评论,¥4413
1942,延寿丽墅宾馆,,近延寿夜市 · 延寿,¥100起,4.9,共18条评论,¥100
1943,云鼎假日宾馆,经济型,近木兰大街 · 木兰,¥122起,4.9,共31条评论,¥122
1944,亚布力君豪宾馆,经济型,近亚布力站 · 尚志,¥142起,4.7,共11条评论,¥142
1945,巴彦碧海云天商务会馆,,近文华文化学校 · 巴彦,¥136起,4.8,共43条评论,¥136
1946,闲度宾馆,,近木兰大街 · 木兰,¥108起,4.9,共36条评论,¥108
1947,尚志万达宾馆,,近亚布力站 · 尚志,¥172起,4.5,共16条评论,¥172
1948,亚布力雪场北国春温泉度假山庄,舒适型,近亚布力东北冰雪民俗村 · 尚志,¥1356起,4.9,共66条评论,¥1356
1949,方正龙跃宾馆,三星级,近雅居 · 方正,¥169起,4.9,共181条评论,¥169
1950,依兰鑫雅朵酒店,经济型,近依兰县人民政府 · 依兰,¥182起,4.5,共92条评论,¥182
1951,宾县天福缘酒店,经济型,近宾县人民政府 · 宾县,¥119起,4.9,共34条评论,¥119
1952,雪谷王家店家庭旅馆,经济型,近勇者家园 · 五常,¥145起,5.0,共10条评论,¥145
1953,方正HB假日宾馆,经济型,近雅居 · 方正,¥179起,4.4,共49条评论,¥179
1954,亚布力关东客栈,经济型,近亚布力森林温泉 · 尚志,¥442起,4.9,共17条评论,¥442
1955,恒远宾馆(五常拉林镇店),经济型,近拉林满族镇 · 五常,¥132起,4.8,共36条评论,¥132
1956,五常富丽盛豪宾馆,经济型,近不夜城小区 · 五常,¥143起,4.7,共60条评论,¥143
1957,宾县英杰温泉酒店,高档型,近宾县英杰温泉 · 宾县,¥549起,4.3,共46条评论,¥549
1958,通河奕峰宾馆,,近中央大街/东兴路(路口) · 通河,¥94起,4.8,共59条评论,¥94
1959,尚志美家嘉华酒店,高档型,近苏杭名都 · 尚志,¥196起,4.6,共99条评论,¥196
1960,延寿三亚宾馆,,近延寿夜市 · 延寿,¥117起,4.9,共52条评论,¥117
1961,尚志春天国际酒店,舒适型,近苏杭名都 · 尚志,¥224起,4.8,共215条评论,¥224
1962,和泓格琳酒店,,近哈尔滨市宾县公安局出入境接待大厅 · 宾县,¥163起,4.7,共15条评论,¥163
1963,东方豪庭连锁酒店(宾县中医院店),经济型,近宾县人民政府 · 宾县,¥111起,4.8,共99条评论,¥111
1964,依兰锦江商务酒店,经济型,近依兰县人民政府 · 依兰,¥192起,4.8,共123条评论,¥192
1965,哈尔滨丽佳公寓(群力远大购物中心店),经济型,近远大购物中心(群力店) · 群力新区,¥193起,4.8,共65条评论,¥193
1966,尚志亚丁商务宾馆,经济型,近苇河林业局 · 尚志,¥396起,4.8,共27条评论,¥396
1967,依兰澎之源宾馆,,近依兰县人民政府 · 依兰,¥109起,4.0,共14条评论,¥109
1968,五常凤山水沐温泉酒店,经济型,近不夜城小区 · 五常,¥172起,4.1,共15条评论,¥172
1969,尚志阳光时尚宾馆,经济型,近亚布力站 · 尚志,¥211起,4.7,共9条评论,¥211
1970,尚志如家快捷宾馆,,近中央大街/向阳路(路口) · 尚志,¥81起,4.9,共158条评论,¥81
